TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	ER	1	1	-15	   20.00	1	   -8.00	0	0	  450.53	-3	7	NULL
real	AL	2	1	-15	  -20.00	0	    8.00	0	0	  507.96	-6	7	NULL
real	DL	3	1	15	  -20.00	0	    8.00	0	0	  421.95	-6	5	NULL
real	BR	4	1	-15	   20.00	1	   -8.00	0	0	  412.72	-6	5	NULL
real	FL	5	1	-15	  -20.00	0	    8.00	0	0	  411.50	-3	5	NULL
real	HR	6	1	15	   20.00	1	   -8.00	0	0	  326.96	-3	5	NULL
real	GR	7	1	15	   20.00	1	   -8.00	0	0	  391.74	-3	7	NULL
real	HL	8	1	15	  -20.00	0	    8.00	0	0	  407.16	-3	5	NULL
real	FR	9	1	-15	   20.00	1	   -8.00	0	0	  425.32	-3	5	NULL
real	CR	10	1	15	   20.00	1	   -8.00	0	0	  310.61	-6	7	NULL
real	CL	11	1	15	  -20.00	0	    8.00	0	0	 1907.75	-6	7	NULL
real	DR	12	1	15	   20.00	1	   -8.00	0	0	  356.50	-6	5	NULL
real	BL	13	1	-15	  -20.00	0	    8.00	0	0	  385.38	-6	5	NULL
real	EL	14	1	-15	  -20.00	1	   -8.00	0	0	  386.03	-3	7	NULL
real	GL	15	1	15	  -20.00	0	    8.00	0	0	  386.60	-3	7	NULL
real	AR	16	1	-15	   20.00	1	   -8.00	0	0	  450.92	-6	7	NULL
real	BL	17	2	-15	  -12.00	0	    8.00	0	0	  370.70	-6	5	NULL
real	BR	18	2	-15	   12.00	1	   -8.00	0	0	  400.88	-6	5	NULL
real	DR	19	2	15	   12.00	1	   -8.00	0	0	  394.00	-6	5	NULL
real	FR	20	2	-15	   12.00	1	   -8.00	0	0	  454.13	-3	5	NULL
real	HR	21	2	15	   12.00	1	   -8.00	0	0	  403.41	-3	5	NULL
real	HL	22	2	15	  -12.00	0	    8.00	0	0	  475.97	-3	5	NULL
real	GR	23	2	15	   12.00	1	   -8.00	0	0	  376.73	-3	7	NULL
real	EL	24	2	-15	-20	0	    4.00	1	1	  374.93	-3	7	NULL
real	AR	25	2	-15	   12.00	1	   -8.00	0	0	  422.44	-6	7	NULL
real	AL	26	2	-15	  -12.00	0	    8.00	0	0	  488.79	-6	7	NULL
real	ER	27	2	-15	   12.00	1	   -8.00	0	0	  428.42	-3	7	NULL
real	GL	28	2	15	  -12.00	0	    8.00	0	0	  486.74	-3	7	NULL
real	CL	29	2	15	  -12.00	0	    8.00	0	0	  457.92	-6	7	NULL
real	FL	30	2	-15	  -12.00	0	    8.00	0	0	  446.15	-3	5	NULL
real	DL	31	2	15	  -12.00	0	    8.00	0	0	  409.60	-6	5	NULL
