TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	GL	1	1	15	  -20.00	1	   -8.00	0	0	13706.95	-3	7	NULL
real	FR	2	1	-15	   20.00	1	   -8.00	0	0	 2637.83	-3	5	NULL
real	DL	3	1	15	  -20.00	0	    8.00	0	0	  986.67	-6	5	NULL
real	ER	4	1	-15	   20.00	1	   -8.00	0	0	  785.22	-3	7	NULL
real	GR	5	1	15	   20.00	1	   -8.00	0	0	  588.70	-3	7	NULL
real	EL	6	1	-15	  -20.00	0	    8.00	0	0	  567.10	-3	7	NULL
real	FL	7	1	-15	  -20.00	0	    8.00	0	0	  520.04	-3	5	NULL
real	BL	8	1	-15	  -20.00	0	    8.00	0	0	  505.36	-6	5	NULL
real	AR	9	1	-15	   20.00	1	   -8.00	0	0	  651.24	-6	7	NULL
real	HL	10	1	15	  -20.00	0	    8.00	0	0	  402.02	-3	5	NULL
real	CR	11	1	15	   20.00	1	   -8.00	0	0	  493.66	-6	7	NULL
real	AL	12	1	-15	  -20.00	0	    8.00	0	0	  502.17	-6	7	NULL
real	HR	13	1	15	   20.00	1	   -8.00	0	0	  428.30	-3	5	NULL
real	BR	14	1	-15	   20.00	1	   -8.00	0	0	  432.56	-6	5	NULL
real	CL	15	1	15	  -20.00	0	    8.00	0	0	  495.84	-6	7	NULL
real	DR	16	1	15	   20.00	1	   -8.00	0	0	  403.54	-6	5	NULL
real	AL	17	2	-15	  -12.00	0	    8.00	0	0	  567.54	-6	7	NULL
real	EL	18	2	-15	  -12.00	0	    8.00	0	0	  630.20	-3	7	NULL
real	DR	19	2	15	   12.00	1	   -8.00	0	0	  970.84	-6	5	NULL
real	CL	20	2	15	  -12.00	0	    8.00	0	0	  468.47	-6	7	NULL
real	GR	21	2	15	   12.00	1	   -8.00	0	0	  776.03	-3	7	NULL
real	FL	22	2	-15	  -12.00	0	    8.00	0	0	  640.18	-3	5	NULL
real	GL	23	2	15	-20	0	    4.00	1	1	  444.25	-3	7	NULL
real	DL	24	2	15	  -12.00	0	    8.00	0	0	  444.49	-6	5	NULL
real	AR	25	2	-15	   12.00	1	   -8.00	0	0	  497.52	-6	7	NULL
real	ER	26	2	-15	   12.00	1	   -8.00	0	0	  442.44	-3	7	NULL
real	BR	27	2	-15	   12.00	1	   -8.00	0	0	  400.80	-6	5	NULL
real	HR	28	2	15	   12.00	1	   -8.00	0	0	  427.07	-3	5	NULL
real	HL	29	2	15	  -12.00	0	    8.00	0	0	  463.41	-3	5	NULL
real	BL	30	2	-15	  -12.00	0	    8.00	0	0	  383.73	-6	5	NULL
real	CR	31	2	15	   12.00	1	   -8.00	0	0	  428.58	-6	7	NULL
real	FR	32	2	-15	   12.00	1	   -8.00	0	0	  396.61	-3	5	NULL
real	HR	33	3	15	    4.00	0	    4.00	1	1	  489.56	-3	5	NULL
real	CR	34	3	15	    4.00	0	    4.00	1	1	  689.71	-6	7	NULL
real	FR	35	3	-15	    4.00	0	    4.00	1	1	 1203.59	-3	5	NULL
real	FL	36	3	-15	   -4.00	0	    8.00	0	0	  389.22	-3	5	NULL
real	EL	37	3	-15	   -4.00	0	    8.00	0	0	  353.72	-3	7	NULL
real	DL	38	3	15	   -4.00	0	    8.00	0	0	  501.43	-6	5	NULL
real	BR	39	3	-15	    4.00	0	    4.00	1	1	 1713.27	-6	5	NULL
real	DR	40	3	15	    4.00	1	   -8.00	0	0	  925.09	-6	5	NULL
real	GR	41	3	15	    4.00	0	    4.00	1	1	 1010.44	-3	7	NULL
real	GL	42	3	15	  -16.00	0	    4.00	0	1	  545.35	-3	7	NULL
real	AR	43	3	-15	    4.00	1	   -8.00	0	0	  876.23	-6	7	NULL
real	ER	44	3	-15	    4.00	1	   -8.00	0	0	  753.98	-3	7	NULL
real	AL	45	3	-15	   -4.00	0	    8.00	0	0	  368.03	-6	7	NULL
real	BL	46	3	-15	   -4.00	0	    8.00	0	0	  408.81	-6	5	NULL
real	HL	47	3	15	   -4.00	0	    8.00	0	0	  354.11	-3	5	NULL
real	CL	48	3	15	   -4.00	0	    8.00	0	0	  402.46	-6	7	NULL
real	AR	49	4	-15	   -4.00	0	    4.00	1	1	  521.18	-6	7	NULL
real	CL	50	4	15	    4.00	0	    8.00	0	0	  979.32	-6	7	NULL
real	GR	51	4	15	    8.00	1	   -2.00	1	2	  698.94	-3	7	NULL
real	DL	52	4	15	    4.00	1	   -4.00	1	1	  691.11	-6	5	NULL
real	GL	53	4	15	  -12.00	0	    4.00	0	1	  390.25	-3	7	NULL
real	CR	54	4	15	    8.00	1	   -2.00	1	2	  528.11	-6	7	NULL
real	FR	55	4	-15	    8.00	1	   -2.00	1	2	  539.76	-3	5	NULL
real	FL	56	4	-15	    4.00	1	   -4.00	1	1	  977.26	-3	5	NULL
real	BL	57	4	-15	    4.00	1	   -4.00	1	1	  545.08	-6	5	NULL
real	BR	58	4	-15	    8.00	1	   -2.00	1	2	  510.42	-6	5	NULL
real	HL	59	4	15	    4.00	1	   -4.00	1	1	  711.64	-3	5	NULL
real	HR	60	4	15	    8.00	1	   -2.00	1	2	  734.97	-3	5	NULL
real	DR	61	4	15	   -4.00	0	    4.00	1	1	  526.55	-6	5	NULL
real	ER	62	4	-15	   -4.00	0	    4.00	1	1	  396.07	-3	7	NULL
real	AL	63	4	-15	    4.00	0	    8.00	0	0	  325.69	-6	7	NULL
real	EL	64	4	-15	    4.00	1	   -4.00	1	1	  527.54	-3	7	NULL
real	DL	65	5	15	    0.00	0	    2.00	1	2	  619.54	-6	5	NULL
real	FL	66	5	-15	    0.00	0	    2.00	1	2	 1015.30	-3	5	NULL
real	HL	67	5	15	    0.00	0	    2.00	1	2	  698.75	-3	5	NULL
real	BR	68	5	-15	    6.00	1	   -2.00	0	2	  472.96	-6	5	NULL
real	ER	69	5	-15	    0.00	1	   -2.00	1	2	  506.29	-3	7	NULL
real	CL	70	5	15	   12.00	1	   -4.00	1	1	  515.79	-6	7	NULL
