TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	DL	1	1	15	  -20.00	0	    8.00	0	0	 1479.67	-6	5	NULL
real	AR	2	1	-15	   20.00	1	   -8.00	0	0	  966.22	-6	7	NULL
real	BR	3	1	-15	   20.00	1	   -8.00	0	0	  772.99	-6	5	NULL
real	HL	4	1	15	  -20.00	0	    8.00	0	0	  761.79	-3	5	NULL
real	GL	5	1	15	  -20.00	0	    8.00	0	0	  559.33	-3	7	NULL
real	GR	6	1	15	   20.00	1	   -8.00	0	0	  626.68	-3	7	NULL
real	FR	7	1	-15	   20.00	1	   -8.00	0	0	  526.77	-3	5	NULL
real	BL	8	1	-15	  -20.00	0	    8.00	0	0	  632.60	-6	5	NULL
real	HR	9	1	15	   20.00	1	   -8.00	0	0	  428.41	-3	5	NULL
real	CL	10	1	15	  -20.00	0	    8.00	0	0	  536.21	-6	7	NULL
real	CR	11	1	15	   20.00	1	   -8.00	0	0	  404.91	-6	7	NULL
real	AL	12	1	-15	  -20.00	0	    8.00	0	0	  424.12	-6	7	NULL
real	EL	13	1	-15	  -20.00	0	    8.00	0	0	  554.11	-3	7	NULL
real	DR	14	1	15	   20.00	1	   -8.00	0	0	  519.96	-6	5	NULL
