TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	CR	1	1	15	   20.00	0	    8.00	0	0	11196.29	-6	7	NULL
real	EL	2	1	-15	  -20.00	0	    8.00	0	0	 1084.04	-3	7	NULL
real	DR	3	1	15	   20.00	1	   -8.00	0	0	  588.54	-6	5	NULL
real	CL	4	1	15	  -20.00	0	    8.00	0	0	  555.77	-6	7	NULL
real	GL	5	1	15	  -20.00	0	    8.00	0	0	  486.31	-3	7	NULL
real	HL	6	1	15	  -20.00	0	    8.00	0	0	  582.07	-3	5	NULL
real	AR	7	1	-15	   20.00	1	   -8.00	0	0	  453.94	-6	7	NULL
real	BR	8	1	-15	   20.00	1	   -8.00	0	0	  528.67	-6	5	NULL
real	AL	9	1	-15	  -20.00	0	    8.00	0	0	  408.90	-6	7	NULL
real	GR	10	1	15	   20.00	1	   -8.00	0	0	  705.27	-3	7	NULL
real	BL	11	1	-15	  -20.00	0	    8.00	0	0	  624.01	-6	5	NULL
real	DL	12	1	15	  -20.00	0	    8.00	0	0	  452.62	-6	5	NULL
real	FL	13	1	-15	  -20.00	0	    8.00	0	0	  484.82	-3	5	NULL
real	ER	14	1	-15	   20.00	1	   -8.00	0	0	  494.97	-3	7	NULL
real	FR	15	1	-15	   20.00	1	   -8.00	0	0	  568.93	-3	5	NULL
real	HR	16	1	15	   20.00	1	   -8.00	0	0	  445.21	-3	5	NULL
real	EL	17	2	-15	  -12.00	0	    8.00	0	0	  552.93	-3	7	NULL
real	ER	18	2	-15	   12.00	1	   -8.00	0	0	  423.93	-3	7	NULL
real	BL	19	2	-15	  -12.00	0	    8.00	0	0	  470.96	-6	5	NULL
real	HR	20	2	15	   12.00	1	   -8.00	0	0	  431.15	-3	5	NULL
real	CL	21	2	15	  -12.00	0	    8.00	0	0	  424.73	-6	7	NULL
real	AL	22	2	-15	  -12.00	0	    8.00	0	0	  501.41	-6	7	NULL
real	GR	23	2	15	   12.00	1	   -8.00	0	0	  512.32	-3	7	NULL
real	BR	24	2	-15	   12.00	1	   -8.00	0	0	  567.78	-6	5	NULL
real	DL	25	2	15	  -12.00	0	    8.00	0	0	  452.51	-6	5	NULL
real	GL	26	2	15	  -12.00	0	    8.00	0	0	  509.03	-3	7	NULL
real	CR	27	2	15	20	1	   -4.00	1	1	  509.56	-6	7	NULL
real	AR	28	2	-15	   12.00	1	   -8.00	0	0	  510.85	-6	7	NULL
real	FL	29	2	-15	  -12.00	0	    8.00	0	0	  499.80	-3	5	NULL
real	DR	30	2	15	   12.00	1	   -8.00	0	0	  415.34	-6	5	NULL
real	HL	31	2	15	  -12.00	0	    8.00	0	0	  418.46	-3	5	NULL
real	FR	32	2	-15	   12.00	1	   -8.00	0	0	  390.73	-3	5	NULL
real	AR	33	3	-15	    4.00	1	   -8.00	0	0	  674.62	-6	7	NULL
real	HR	34	3	15	    4.00	0	    4.00	1	1	 1205.84	-3	5	NULL
real	DR	35	3	15	    4.00	1	   -8.00	0	0	  952.56	-6	5	NULL
real	GL	36	3	15	   -4.00	0	    8.00	0	0	  513.29	-3	7	NULL
real	ER	37	3	-15	    4.00	1	   -8.00	0	0	  562.69	-3	7	NULL
real	FR	38	3	-15	    4.00	1	   -8.00	0	0	  637.35	-3	5	NULL
real	CL	39	3	15	   -4.00	0	    8.00	0	0	  609.15	-6	7	NULL
real	EL	40	3	-15	   -4.00	0	    8.00	0	0	  806.29	-3	7	NULL
real	AL	41	3	-15	   -4.00	0	    8.00	0	0	 1217.21	-6	7	NULL
real	CR	42	3	15	   16.00	1	   -4.00	0	1	  479.34	-6	7	NULL
real	DL	43	3	15	   -4.00	0	    8.00	0	0	  653.59	-6	5	NULL
real	BL	44	3	-15	   -4.00	0	    8.00	0	0	  752.32	-6	5	NULL
real	HL	45	3	15	   -4.00	0	    8.00	0	0	  560.38	-3	5	NULL
real	FL	46	3	-15	   -4.00	0	    8.00	0	0	  629.91	-3	5	NULL
real	BR	47	3	-15	    4.00	1	   -8.00	0	0	  689.49	-6	5	NULL
real	GR	48	3	15	    4.00	0	    4.00	1	1	  458.22	-3	7	NULL
real	HR	49	4	15	    8.00	1	   -2.00	1	2	  530.64	-3	5	NULL
real	FL	50	4	-15	    4.00	1	   -4.00	1	1	  625.84	-3	5	NULL
real	AL	51	4	-15	    4.00	1	   -4.00	1	1	  509.95	-6	7	NULL
real	FR	52	4	-15	   -4.00	0	    4.00	1	1	  588.36	-3	5	NULL
real	AR	53	4	-15	   -4.00	0	    4.00	1	1	  411.24	-6	7	NULL
real	DR	54	4	15	   -4.00	0	    4.00	1	1	  588.51	-6	5	NULL
real	GL	55	4	15	    4.00	0	    8.00	0	0	 1400.18	-3	7	NULL
real	CR	56	4	15	   12.00	1	   -4.00	0	1	  415.49	-6	7	NULL
real	GR	57	4	15	    8.00	1	   -2.00	1	2	  435.81	-3	7	NULL
real	DL	58	4	15	    4.00	1	   -4.00	1	1	  881.68	-6	5	NULL
real	ER	59	4	-15	   -4.00	1	   -8.00	0	0	  938.15	-3	7	NULL
real	HL	60	4	15	    4.00	1	   -4.00	1	1	 1009.79	-3	5	NULL
real	EL	61	4	-15	    4.00	1	   -4.00	1	1	  569.94	-3	7	NULL
real	CL	62	4	15	    4.00	1	   -4.00	1	1	 1506.45	-6	7	NULL
real	BL	63	4	-15	    4.00	1	   -4.00	1	1	  645.60	-6	5	NULL
real	BR	64	4	-15	   -4.00	0	    4.00	1	1	  553.68	-6	5	NULL
real	EL	65	5	-15	    0.00	1	   -4.00	0	1	 1029.97	-3	7	NULL
real	FL	66	5	-15	    0.00	1	   -4.00	0	1	  544.69	-3	5	NULL
real	CL	67	5	15	    0.00	0	    2.00	1	2	  722.09	-6	7	NULL
real	BL	68	5	-15	    0.00	1	   -4.00	0	1	  651.36	-6	5	NULL
real	CR	69	5	15	    8.00	1	   -4.00	0	1	  516.76	-6	7	NULL
real	AR	70	5	-15	    0.00	1	   -2.00	1	2	  838.04	-6	7	NULL
